,GARCH,EGARCH,RF,XGBoost,LSTM
BTC,"{'RMSE': 0.22042577577738806, 'MAE': 0.18174675480252564, 'MAPE': 68.60034626458977}","{'RMSE': 0.220232474746231, 'MAE': 0.1844622935952125, 'MAPE': 69.44909691678053}","{'RMSE': 0.19982973938883336, 'MAE': 0.15771138407298851, 'MAPE': 55.21196527146625}","{'RMSE': 0.19842012083385172, 'MAE': 0.15771414166733322, 'MAPE': 55.83393243038286}","{'RMSE': 0.25189185366859496, 'MAE': 0.17976271476560976, 'MAPE': 54.60257080945926}"
ETH,"{'RMSE': 0.27512753096427706, 'MAE': 0.21132027441133505, 'MAPE': 65.00097933939624}","{'RMSE': 0.26368597887447004, 'MAE': 0.20321867725562842, 'MAPE': 62.09855084459449}","{'RMSE': 0.26490229362285067, 'MAE': 0.20042417466156529, 'MAPE': 58.164464604425405}","{'RMSE': 0.2593511683427903, 'MAE': 0.19755003619757952, 'MAPE': 56.798396606659466}","{'RMSE': 0.3862857144726733, 'MAE': 0.2945503426685221, 'MAPE': 83.31281566851807}"
SPX,"{'RMSE': 0.06107345005618635, 'MAE': 0.04880523100474663, 'MAPE': 60.31129790461659}","{'RMSE': 0.06142630561409672, 'MAE': 0.04927334604352965, 'MAPE': 60.5306989420895}","{'RMSE': 0.054425672485054394, 'MAE': 0.04200655424613638, 'MAPE': 50.717189841715935}","{'RMSE': 0.0566065040638711, 'MAE': 0.04397756640487185, 'MAPE': 52.13628668831796}","{'RMSE': 0.0633442952574767, 'MAE': 0.049607747871643924, 'MAPE': 55.16730490654167}"
VIX,"{'RMSE': 0.9083093876103759, 'MAE': 0.5896331480880642, 'MAPE': 81.32357888982109}","{'RMSE': 0.880636416108319, 'MAE': 0.5754200644905908, 'MAPE': 79.32089045860742}","{'RMSE': 0.8310635542794597, 'MAE': 0.49846516479697556, 'MAPE': 71.71934310265743}","{'RMSE': 0.8724786740247988, 'MAE': 0.5255275415215713, 'MAPE': 72.64778204681666}","{'RMSE': 0.9448568752031746, 'MAE': 0.5584498812588437, 'MAPE': 70.64528956175626}"
