date,open,high,low,close,volume
2019-01-01 00:00:00,3832.6286242,4499.3,3629.66,3826.1,57017.5379986069
2019-01-02 00:00:00,3963.0,4083.470676,3767.04,3886.2,73713.83827697848
2019-01-03 00:00:00,3867.79,4056.64433109,3721.9,3787.57,39961.721623397825
2019-01-04 00:00:00,3923.2,3986.0,3712.31,3820.82,72239.55929299629
2019-01-05 00:00:00,3954.9,4014.9,3772.1,3798.62,37066.90401520809
2019-01-06 00:00:00,3911.9,4218.0,3753.0,4040.99,59412.915321556386
2019-01-07 00:00:00,4169.2,4197.0,3952.38,4005.3,72110.82759708774
2019-01-08 00:00:00,4005.97,4215.8,3933.24,3993.86,67462.67440223772
2019-01-09 00:00:00,4100.0,4168.9,3940.47,4004.12,87663.79067240242
2019-01-10 00:00:00,4083.3,4143.3,3503.44,3610.44,116478.82560129337
2019-01-11 00:00:00,3712.8,3777.8,3546.18,3635.1,78384.48044339012
2019-01-12 00:00:00,3715.4,3734.0,3557.09,3617.13,50418.20248115684
2019-01-13 00:00:00,3702.0,3729.0,3375.0,3496.89,43462.001716990104
2019-01-14 00:00:00,3590.9,3799.4,3490.92,3664.19,68684.62560579082
2019-01-15 00:00:00,3664.18,3780.87473393,3534.68,3576.93,69588.69776534101
2019-01-16 00:00:00,3653.3,3759.89484429,3555.3,3609.71,58363.98848678905
2019-01-17 00:00:00,3675.4,3725.0,3534.25,3638.01,61928.44076789186
2019-01-18 00:00:00,3722.5,3723.9,3570.73,3612.2,50216.24215268405
2019-01-19 00:00:00,3675.7,3950.0,3596.17,3681.0,51776.614523192664
2019-01-20 00:00:00,3762.9,3796.9,3468.7,3586.1,56588.81992219314
2019-01-21 00:00:00,3586.1,3620.1,3485.58,3531.76,60585.8599757151
2019-01-22 00:00:00,3527.88,3682.14145688,3401.36,3576.81,63644.218538312685
2019-01-23 00:00:00,3572.42,3677.0,3518.0,3553.01,61782.017033343815
2019-01-24 00:00:00,3553.2,3671.4,3524.0,3652.70510422,45587.29233120581
2019-01-25 00:00:00,3568.97,3663.5,3510.01,3562.17,54843.20177273602
2019-01-26 00:00:00,3564.37,3750.0,3535.6,3631.2,47136.5090035675
2019-01-27 00:00:00,3631.2,3645.7,3456.0,3531.02,47684.96874618628
