date,open,high,low,close,volume
2019-01-01 00:00:00,130.66,148.15192358,129.5,139.36,697829.5315539296
2019-01-02 00:00:00,145.05,163.67,138.41,153.51,1040487.7130966487
2019-01-03 00:00:00,159.51163185,160.93,143.51,147.23,733449.5683559948
2019-01-04 00:00:00,152.41686459,162.4,144.77,151.93,1022489.1682539464
2019-01-05 00:00:00,158.71,167.0,152.02,153.85,936420.2873501198
2019-01-06 00:00:00,154.21,165.86,147.16,155.92,892090.811513106
2019-01-07 00:00:00,155.91,162.59,147.76,150.62,520879.2956152181
2019-01-08 00:00:00,150.57,158.09124123,146.0,149.01,678085.8369659398
2019-01-09 00:00:00,149.05,162.76,147.31,149.56,534366.7101596054
2019-01-10 00:00:00,152.65,154.8,122.0,129.5,1426427.6564498288
2019-01-11 00:00:00,129.52,131.79,120.71,125.58,732165.4380891572
2019-01-12 00:00:00,128.76,130.37,122.61,124.59,395499.20964825136
2019-01-13 00:00:00,124.57,128.06,113.16,115.58,589677.6796054919
2019-01-14 00:00:00,117.94,134.5,114.76,127.39,880125.628290262
2019-01-15 00:00:00,131.45921456,134.29,116.55,120.0,983114.0588440925
2019-01-16 00:00:00,122.6,131.36,118.86,121.61,880303.3599932193
2019-01-17 00:00:00,124.36,127.32,116.97,122.55,762937.6390568033
2019-01-18 00:00:00,121.64,125.66,117.74,119.53,500276.3054694613
2019-01-19 00:00:00,121.88,132.36,118.7,123.09,580572.8880760315
2019-01-20 00:00:00,126.0,126.87,107.51,117.43,605481.6987810974
2019-01-21 00:00:00,117.46,120.53,113.44,115.86,507673.56816057477
2019-01-22 00:00:00,117.42,122.12,110.37,118.08,664046.8784940741
2019-01-23 00:00:00,120.19,121.29,114.91,118.76,402531.4733664354
2019-01-24 00:00:00,118.75892895,120.12,113.5,116.293,462729.53401113785
2019-01-25 00:00:00,116.319,120.0,114.04,115.06,444525.8544650805
2019-01-26 00:00:00,114.95,122.0,114.57,117.26,344532.27124534245
2019-01-27 00:00:00,117.28,118.49,110.21,112.073,545243.5067497325
2019-01-28 00:00:00,112.073,114.45,100.9,107.49,1145782.0027208407
2019-01-29 00:00:00,105.44,108.36,102.0,104.448,717907.607455076
2019-01-30 00:00:00,104.01,112.06,102.89,107.61,941900.6664822071
2019-01-31 00:00:00,108.261,113.88,104.2,105.76,689024.0729109037
2019-02-01 00:00:00,105.84,110.67,102.87,106.819,834163.7503246254
2019-02-02 00:00:00,105.84,114.33389877,105.03,112.71,549544.5807873314
2019-02-03 00:00:00,112.7,114.2,104.41,107.327,802815.9976102072
2019-02-04 00:00:00,108.58,110.6,105.29,107.666,587763.0886851384
2019-02-05 00:00:00,106.04,109.17,104.82,107.394,649734.5865678266
2019-02-06 00:00:00,107.386,109.0,100.0,106.05,822442.7669292762
2019-02-07 00:00:00,106.06,107.75,102.6,103.32,676364.3400091857
2019-02-08 00:00:00,105.78,124.88,102.29,117.96,1567269.0297645149
2019-02-09 00:00:00,119.135,123.73,116.54,117.98,625595.0699776894
2019-02-10 00:00:00,121.08,128.16,114.21,125.2,1059450.520235553
2019-02-11 00:00:00,123.93,127.31,118.09,119.43,809257.1238913734
2019-02-12 00:00:00,122.68928414,127.0,117.0,122.278,797050.4819808113
2019-02-13 00:00:00,122.293,130.46398664,119.5,122.077,946359.2269173552
2019-02-14 00:00:00,123.85,126.35,115.0,122.52,889796.4930168983
2019-02-15 00:00:00,120.576,127.4,119.0,120.45,575656.4916135439
2019-02-16 00:00:00,121.646,127.25,120.4,122.704,538619.9270033663
2019-02-17 00:00:00,124.68,139.5,121.3,133.7,1300309.8202165575
2019-02-18 00:00:00,136.17,152.0,131.0,145.738,1980267.1836701203
2019-02-19 00:00:00,145.735,153.76,141.5,142.69,1103181.1154231266
2019-02-20 00:00:00,142.72999,152.99,138.16,148.352,1011829.5616619746
2019-02-21 00:00:00,146.98,156.4,141.61,144.21,970168.3312530695
2019-02-22 00:00:00,148.30303447,152.43,142.11,146.68,880450.8623985647
2019-02-23 00:00:00,151.27,163.78,144.66999,161.53745825,1301939.8330219951
2019-02-24 00:00:00,157.716,170.0,131.0,132.428,2068057.395357459
2019-02-25 00:00:00,135.3,144.78,130.61,137.64,1178415.3547868703
2019-02-26 00:00:00,141.17,141.75,132.05,135.71,617480.404579813
2019-02-27 00:00:00,136.319,144.19,125.66,137.71,1354914.3449654144
2019-02-28 00:00:00,137.72,143.0,131.44999,134.48,834841.7566534017
2019-03-01 00:00:00,134.59,141.44,133.52,138.5,348921.6709671802
2019-03-02 00:00:00,138.53,139.31,128.85,132.32,942112.9672537557
2019-03-03 00:00:00,132.521,137.99,127.0,129.81,579013.3362401671
2019-03-04 00:00:00,130.508,133.88740746,122.52,128.39,1189934.131462911
2019-03-05 00:00:00,125.18,141.0,124.75,136.625,1116945.1585260457
2019-03-06 00:00:00,136.636,143.83,129.4,140.57,1149175.3565943602
2019-03-07 00:00:00,140.569586,143.3,133.63,136.827,722455.4460264008
2019-03-08 00:00:00,136.25,143.06280348,128.85,136.18,814310.4388317853
2019-03-09 00:00:00,136.19,141.71,131.86,136.33,747616.4254958485
2019-03-10 00:00:00,140.04,140.4,133.3,134.66,616009.1094322397
2019-03-11 00:00:00,138.19868858,138.76,130.44999,132.624,813130.7311725938
2019-03-12 00:00:00,135.41,139.01,127.19,132.8,872699.0299129316
2019-03-13 00:00:00,133.569,136.32,130.12,134.51,690677.2030377538
2019-03-14 00:00:00,131.601,138.51,128.0,132.152,895183.2304476986
2019-03-15 00:00:00,131.4,141.19,131.36,135.99,1139097.3650985744
2019-03-16 00:00:00,139.27,147.5,135.79,140.955,959390.6300378256
2019-03-17 00:00:00,143.79168208,143.79168208,135.55,138.717,1065523.6103732681
2019-03-18 00:00:00,141.72,144.88,135.03,137.01,939871.6817732169
2019-03-19 00:00:00,140.59,142.34,136.15,141.64,753632.6116012603
2019-03-20 00:00:00,138.15,143.02,135.13,139.02,994632.6357504057
2019-03-21 00:00:00,139.035,142.78,131.94999,134.3,872218.1306369384
2019-03-22 00:00:00,134.3,139.49,133.94,135.72999,583881.8986317038
2019-03-23 00:00:00,135.874,140.7,135.18,136.52,581213.6642235945
2019-03-24 00:00:00,137.366,139.37,133.22,135.29,553276.1557685366
2019-03-25 00:00:00,135.36,138.76,130.59,133.909,685567.2930995114
2019-03-26 00:00:00,135.14155752,136.26,131.38,135.4,427014.84894659603
2019-03-27 00:00:00,135.4,142.19,132.98,141.71,566417.1447025874
2019-03-28 00:00:00,139.08,141.65,135.78,137.886,507385.91853372083
